2	2	1	2	2	0	3	4	3	5	3	3	3	4	5	4	5	4	4	4	4	5	16	647	8	7871
2	2	1	2	2	0	3	2	3	3	3	3	3	2	2	4	3	4	4	4	4	4	5	130	9	845
1	2	1	2	2	0	2	3	3	2	3	3	4	2	3	4	5	4	3	2	3	3	8	254	6	2330
3	2	1	2	2	0	3	2	2	4	2	2	1	3	5	4	4	5	4	3	2	3	16	1056	2	21272
2	2	1	2	2	0	2	3	3	3	4	3	3	4	3	4	4	3	4	5	4	4	12	383	4	4224
2	3	1	2	2	1	4	2	3	3	3	3	3	2	2	4	4	4	4	4	5	4	12	345	8	2826
2	2	1	2	2	0	2	4	3	5	4	3	2	3	5	5	5	3	4	4	2	3	27	209	3	7320
2	2	1	2	2	0	1	2	3	3	2	2	2	4	5	4	3	3	3	3	2	3	24	366	2	9125
2	4	2	2	1	0	2	4	3	3	2	1	2	4	5	3	2	2	2	3	4	2	54	1181	3	11900
1	2	1	2	2	0	2	2	3	2	3	3	3	2	5	3	4	2	3	2	3	3	13	181	3	4300
2	5	1	2	1	0	1	5	3	4	2	3	1	3	3	3	2	2	2	1	1	2	21	739	6	4150
3	1	0	2	2	0	2	2	2	2	4	3	3	1	4	4	3	4	4	1	5	1	7	108	7	900
3	5	0	2	2	0	3	2	3	3	4	2	2	2	4	4	3	5	3	3	4	2	10	48	6	583
1	2	1	2	2	0	2	2	3	2	4	3	3	3	5	4	3	3	4	2	4	3	19	249	7	2565
2	2	1	2	2	0	2	3	4	3	3	3	3	3	3	5	5	2	4	3	3	3	11	371	8	4047
2	2	1	2	2	0	1	2	3	2	4	3	3	4	4	4	3	2	4	3	3	3	13	211	3	1520
2	2	1	2	2	1	4	4	1	3	3	3	4	4	5	4	4	4	4	3	3	4	32	1849	7	25910
2	2	1	2	2	1	4	4	3	4	3	4	4	5	4	5	4	5	5	3	1	4	38	2482	5	37286
3	3	1	2	2	0	4	3	2	3	3	3	2	4	5	4	4	4	4	4	2	3	40	434	1	15052
2	2	1	2	2	0	3	4	3	4	4	4	2	3	4	5	5	3	4	4	2	3	29	292	3	11039
3	3	1	2	2	0	4	4	4	2	3	3	3	4	3	4	4	5	3	2	3	3	14	2954	6	18500
2	3	1	2	2	0	1	4	3	2	4	3	3	4	4	5	4	3	4	2	4	3	14	304	7	9369
2	5	1	2	1	0	1	4	3	2	3	2	3	2	4	4	4	2	2	3	3	3	28	353	5	7184
2	2	1	2	2	1	4	2	2	2	4	3	3	4	4	5	5	5	4	2	2	4	16	567	8	10447
2	2	1	2	2	1	3	4	3	4	3	3	3	3	3	4	4	3	3	2	3	3	13	467	7	5100
2	2	1	2	2	0	3	4	3	3	4	3	3	4	5	4	4	4	4	4	2	4	45	3368	3	63694
3	2	1	2	2	1	2	3	3	3	4	3	4	2	4	4	3	2	4	4	2	4	4	253	8	1651
4	3	1	2	2	1	3	1	4	2	3	3	4	2	3	2	3	2	4	2	4	3	10	196	7	1450
1	2	1	2	2	0	4	3	4	2	3	3	4	3	5	3	3	3	4	4	5	3	12	185	8	1745
3	2	1	2	2	0	2	2	4	3	2	2	2	3	4	5	4	4	4	3	3	4	6	387	4	1798
5	2	1	2	2	0	2	1	3	3	3	3	2	4	5	3	2	3	3	3	4	3	28	430	4	2957
2	2	1	2	2	0	2	3	4	2	3	3	3	3	4	3	4	2	4	3	3	3	6	204	5	963
2	2	1	2	2	0	1	3	3	3	4	3	3	2	3	4	2	3	4	2	4	3	6	71	4	1233
1	3	1	1	1	0	3	4	2	4	3	5	3	4	5	5	4	3	5	4	4	5	6	840	7	3240
2	3	1	1	1	0	4	4	2	4	3	5	3	5	3	5	5	4	5	3	4	5	11	1648	6	10000
2	3	1	1	1	0	4	4	2	4	3	5	3	5	3	5	5	4	5	3	4	5	8	1035	7	6800
3	2	1	2	2	0	1	3	3	4	2	3	2	3	4	3	3	3	4	4	3	3	22	548	1	3850
3	3	1	2	2	1	3	4	3	4	4	4	3	3	4	4	4	5	5	4	3	4	31	2054	7	14000
5	2	1	2	2	0	2	2	3	2	4	3	3	3	4	3	3	3	3	2	4	3	26	302	4	5787
3	3	1	2	2	1	3	4	2	2	3	4	4	4	2	4	2	4	3	4	3	4	22	1172	9	9700
1	5	1	1	2	0	1	3	3	3	2	2	3	3	3	4	3	3	4	4	4	3	7	253	7	1100
2	2	1	2	2	0	2	3	4	2	4	3	3	3	3	5	5	3	3	2	3	3	14	227	8	5578
2	2	1	2	2	0	3	4	3	3	3	3	3	2	3	4	3	3	4	3	3	3	6	59	8	1060
1	2	1	2	2	1	4	3	3	4	4	4	4	3	4	4	3	5	4	3	2	3	6	299	7	5279
3	2	1	2	2	0	1	3	3	3	4	3	3	3	3	5	3	4	4	3	2	4	15	422	5	8117
2	5	1	2	1	0	3	4	4	3	5	4	4	5	3	4	4	3	5	2	4	4	9	1058	6	8710
1	5	4	2	2	0	3	4	2	2	3	3	2	4	4	4	4	3	4	4	5	3	9	65	6	796
3	3	1	2	2	0	3	5	5	3	3	2	3	4	5	5	4	4	4	3	4	4	26	390	4	11023
2	2	1	2	2	0	2	4	4	2	3	4	3	2	2	3	3	3	3	2	4	4	13	193	6	1755
1	2	1	2	2	1	4	4	3	2	3	3	3	3	3	4	3	4	4	4	3	3	28	1526	7	5931
3	3	1	2	2	1	2	2	3	3	3	3	3	4	2	4	3	4	4	2	3	3	13	575	9	4456
2	2	1	2	2	0	1	2	3	3	4	3	3	3	4	4	3	2	4	4	2	3	13	509	3	3600
5	2	1	2	2	0	3	1	4	4	2	3	3	2	3	2	2	2	4	5	3	3	12	583	4	4557
3	2	1	2	2	0	2	4	3	5	3	3	3	4	5	4	3	3	4	3	3	3	14	315	4	8752
3	2	1	2	2	0	2	3	4	5	3	3	3	3	3	4	4	2	4	4	3	3	12	138	5	3440
2	3	1	2	2	0	3	3	4	3	3	3	3	3	4	4	4	4	4	4	4	3	9	257	4	1981
2	2	1	2	2	0	1	2	3	3	2	2	2	4	5	4	3	3	4	4	2	3	30	423	1	13700
5	5	1	2	1	0	3	4	2	4	3	3	3	3	3	5	3	3	4	3	4	4	20	495	7	7105
3	3	1	2	2	1	4	2	3	3	4	3	3	3	4	4	3	4	3	2	4	3	16	622	6	6816
1	2	1	2	2	1	2	3	3	3	3	3	4	4	5	5	5	5	4	3	2	3	12	204	8	4620
3	3	1	2	2	1	4	2	3	2	3	3	2	3	5	5	4	5	5	1	5	4	15	616	6	7451
3	3	1	2	2	0	3	2	4	3	3	3	3	4	3	5	5	5	4	4	5	4	33	3643	7	39479
