1	4	12	253	52	305	34	302	1	5152
0	0	4	197	124	321	33	315	1	5635
4	4	1	40	60	100	18	83	1	805
0	0	5	200	119	319	30	303	1	3829
0	0	4	140	94	234	24	208	1	2149
0	0	4	97	89	186	38	192	1	2821
2	1	9	119	42	161	25	145	2	2569
1	2	13	186	52	238	25	214	1	3913
3	1	12	172	88	260	30	247	1	7854
3	4	4	78	38	116	24	103	1	2422
4	1	21	167	99	266	24	237	1	4067
2	1	17	146	112	258	40	271	1	9051
1	1	3	33	72	105	19	88	1	2282
3	4	8	162	61	223	32	216	1	4172
4	4	9	223	121	344	28	320	1	4977
3	2	8	119	48	167	26	152	2	1617
4	3	8	57	43	100	43	108	1	3192
4	4	14	68	316	384	20	326	2	3437
3	4	14	9	386	395	21	340	2	4494
4	2	5	58	34	92	29	86	1	840
4	4	12	318	269	587	34	581	2	14973
2	4	18	88	170	258	34	255	1	5180
2	4	5	306	132	438	37	447	1	5775
4	1	20	304	78	382	39	397	1	10577
1	4	8	89	200	289	33	283	1	3983
4	1	14	86	230	316	33	310	1	3164
2	0	6	71	235	306	37	312	1	3542
3	1	14	148	324	472	39	491	1	4277
4	4	16	116	170	286	27	263	1	7252
4	1	14	175	277	452	37	461	1	3948
4	3	6	79	128	207	27	190	1	3927
1	1	9	145	38	183	27	168	3	710
4	4	9	174	78	252	41	267	3	2429
1	1	5	194	91	285	35	285	1	6405
2	2	3	126	49	175	38	180	3	651
1	3	17	317	119	436	34	432	2	9135
2	4	11	289	88	377	28	351	3	1435
1	4	4	158	59	217	18	180	3	847
3	3	16	302	145	447	52	523	2	8050
1	1	9	451	48	499	28	464	1	4620
2	4	34	661	132	793	23	698	3	2352
1	1	10	64	54	118	25	106	1	2174
2	1	18	182	126	308	35	308	1	6699
2	3	27	173	332	505	19	424	1	14987
2	2	9	252	7	259	28	241	1	4004
4	3	11	131	180	311	51	361	1	12824
2	3	8	106	39	145	6	103	1	2331
3	3	9	96	108	204	29	192	1	5817
2	3	7	116	72	188	18	156	1	2989
3	3	6	86	49	135	32	131	1	3136
2	3	17	221	121	342	35	342	1	14434
1	1	12	61	96	157	18	130	1	2583
1	3	12	132	89	221	5	155	2	3647
3	7	13	45	387	432	16	350	2	8232
1	1	12	55	112	167	12	129	2	3276
1	4	8	124	52	176	14	139	2	2723
3	3	5	120	126	246	15	197	2	3472
1	2	6	47	32	79	14	62	2	1575
1	1	12	126	107	233	23	205	2	2926
3	2	6	101	45	146	15	117	2	1876
1	1	5	78	99	177	14	140	1	2520
4	7	13	69	74	143	14	113	1	1603
1	3	8	194	97	291	35	291	2	3626
2	4	15	323	184	507	35	507	2	11361
1	3	6	42	31	73	27	67	2	1267
1	2	5	74	43	117	25	105	2	2548
3	4	10	101	57	158	9	117	2	1155
0	4	6	97	42	139	6	99	3	546
2	3	13	134	77	211	13	165	2	2275
4	5	26	482	227	709	26	645	2	9100
0	2	6	213	73	286	6	203	3	595
2	3	24	473	182	655	40	688	2	13860
4	4	12	229	169	398	39	414	3	1400
4	3	12	227	73	300	34	297	1	2800
4	4	24	395	193	588	40	617	1	9520
4	3	12	469	176	645	43	697	3	5880
4	4	36	886	241	1127	34	1116	1	23940
